iter	MultiClass
125	1.009209223
126	1.0054646
127	1.00084307
128	0.9953128077
129	0.9909545304
130	0.9870506856
131	0.9811050793
132	0.9787225843
133	0.9756706193
134	0.9694583169
135	0.9664746865
136	0.9633281554
137	0.9600356105
138	0.9558344435
139	0.95215956
140	0.9494604851
141	0.9449539723
142	0.9422034933
143	0.9370779114
144	0.9338098943
145	0.9315736574
146	0.9281626015
147	0.9236297404
148	0.9219662374
149	0.9187188366
150	0.9158383196
151	0.911901573
152	0.9066702327
153	0.9041227278
154	0.9012523579
155	0.8988073929
156	0.8959997141
157	0.893013349
158	0.8907415711
159	0.8868920539
160	0.8843444853
161	0.8813114651
162	0.8791654146
163	0.8761615514
164	0.8724412362
165	0.8700744218
166	0.8673408361
167	0.864193782
168	0.861898188
169	0.8594419428
170	0.8578543073
171	0.8558717191
172	0.8530700896
173	0.8509191811
174	0.8471990219
175	0.8433376229
176	0.8416729155
177	0.8387331225
178	0.8358883725
179	0.8334438082
180	0.829658752
181	0.8268336741
182	0.8238468506
183	0.8214421446
184	0.8189572784
185	0.8147175559
186	0.8120595336
187	0.8105574758
188	0.8087068008
189	0.8050271229
190	0.8030569657
191	0.8006162385
192	0.7988294374
193	0.7967530583
194	0.7943708852
195	0.792354761
196	0.7908999726
197	0.7876278133
198	0.7861073741
199	0.7847483808
200	0.782776314
201	0.7808481939
202	0.7790288509
203	0.7773532501
204	0.7743745619
205	0.7721123208
206	0.7703639823
207	0.7679606302
208	0.7652798004
209	0.7630559652
210	0.7613801386
211	0.7600042305
212	0.7584357265
213	0.7561127182
214	0.7533228448
215	0.7500456887
216	0.7479809849
217	0.7436912598
218	0.7420345092
219	0.7403800408
220	0.737359556
221	0.7359764534
222	0.7344404519
223	0.7329646446
224	0.7314448749
225	0.7300512249
226	0.7279452178
227	0.7266869677
228	0.7249678394
229	0.7219730073
230	0.7197080099
231	0.7174339741
232	0.7158212041
233	0.7144622866
234	0.7125148472
235	0.7101483618
236	0.7085656057
237	0.7068525258
238	0.7051091012
239	0.7027429921
240	0.7010398856
241	0.6988452831
242	0.6965611191
243	0.6950798088
244	0.6937757602
245	0.6919363615
246	0.6894479597
247	0.6882448068
248	0.6869782589
249	0.6848631769
250	0.6835123562
251	0.6820038491
252	0.680466531
253	0.6791156222
254	0.6776449715
255	0.6761156497
256	0.6749199457
257	0.673502484
258	0.671627115
259	0.6702240715
260	0.6678860048
261	0.6655254802
262	0.6639441611
263	0.6626678062
264	0.6607281639
265	0.6592283614
266	0.6574927477
267	0.6553205012
268	0.6539950123
269	0.652170827
270	0.6500553891
271	0.6476269696
272	0.6461647022
273	0.6449631434
274	0.6437090036
275	0.6426156252
276	0.6417608856
277	0.6401179791
278	0.638700645
279	0.6371633751
280	0.6360077624
281	0.6346455722
282	0.6333560984
283	0.6318688617
284	0.6305099998
285	0.6293440142
286	0.6281443546
287	0.6261652166
288	0.6252648254
289	0.6230223336
290	0.6214519801
291	0.6203526587
292	0.6175788786
293	0.6162486025
294	0.6151230514
295	0.6135589678
296	0.6123589972
297	0.6111819936
298	0.6100170951
299	0.6083640158
300	0.6064765004
301	0.6051595885
302	0.6043030755
303	0.6029483275
304	0.6008149121
305	0.5996294757
306	0.5987949549
307	0.5979424773
308	0.5963429008
309	0.5941918395
310	0.5932425498
311	0.5916990963
312	0.5902607859
313	0.5887361855
314	0.5871198494
315	0.5860685954
316	0.5849574927
317	0.583868547
318	0.5822654154
319	0.5811369806
320	0.5801930981
321	0.5790994248
322	0.5781883638
323	0.5766526817
324	0.5750947624
325	0.5735607971
326	0.5724263179
327	0.5712849528
328	0.5695424696
329	0.5671988952
330	0.5657615997
331	0.564501314
332	0.5632250514
333	0.5622115099
334	0.5611522943
335	0.5599737942
336	0.5584266392
337	0.5565789143
338	0.5554895141
339	0.5542721794
340	0.5532455917
341	0.5519050787
342	0.5510862134
343	0.5498309503
344	0.5490915133
345	0.5479335976
346	0.5468364572
347	0.5457102124
348	0.5437304248
349	0.5426361583
350	0.5410560251
351	0.5403336398
352	0.5391743727
353	0.5381445222
354	0.5373002325
355	0.5360631172
356	0.535416718
357	0.534392608
358	0.5331990024
359	0.5325444942
360	0.5314338464
361	0.5302106131
362	0.5290334325
363	0.5279251929
364	0.5269055306
365	0.5257843608
366	0.5249418786
367	0.5239545503
368	0.5232129434
369	0.5225068513
370	0.5217971255
371	0.5211049726
372	0.5193958337
373	0.5177953091
374	0.5169392133
375	0.5158606272
376	0.5143877144
377	0.5132368388
378	0.5123023231
379	0.5111145877
380	0.5098278545
381	0.5089296379
382	0.5081887005
383	0.5070903416
384	0.5063271524
385	0.5055085591
386	0.503555777
387	0.5022515901
388	0.5014951514
389	0.5004704606
390	0.4994856051
391	0.4980912236
392	0.4975039033
393	0.4961468187
394	0.4945119117
395	0.4938101579
396	0.4926107966
397	0.4916233788
398	0.4910166156
399	0.4903980598
400	0.489322917
401	0.4878430767
402	0.4862001944
403	0.4850116097
404	0.4842517214
405	0.4832496724
406	0.4825443465
407	0.4812269767
408	0.479186006
409	0.4783091839
410	0.4769266456
411	0.4761499879
412	0.4753705644
413	0.4747253765
414	0.4737975353
415	0.472836218
416	0.4719225478
417	0.471022057
418	0.4702134487
419	0.4694675943
420	0.4686349682
421	0.4680896801
422	0.4673414424
423	0.4664068033
424	0.4656842711
425	0.4646227705
426	0.4635112206
427	0.4626567837
428	0.4618457852
429	0.4603868565
430	0.4595898811
431	0.4589099016
432	0.4578642891
433	0.4569227321
434	0.4560817539
435	0.4552484106
436	0.4544656914
437	0.4535240889
438	0.4517424888
439	0.4509235745
440	0.4504847094
441	0.4498812694
442	0.4492144003
443	0.448679895
444	0.4480352865
445	0.446697877
446	0.4461661471
447	0.4454733707
448	0.4444064884
449	0.4437708694
450	0.4425699648
451	0.4420787518
452	0.4410691045
453	0.4402938672
454	0.4397272473
455	0.4391013499
456	0.4384734395
457	0.4377731882
458	0.4371129128
459	0.4363454105
460	0.4354894518
461	0.4345594892
462	0.4336095302
463	0.433024201
464	0.4315507975
465	0.4308549427
466	0.4301134706
467	0.4294801665
468	0.4285159146
469	0.4279599679
470	0.4273221002
471	0.4267662493
472	0.4259934348
473	0.4248262198
474	0.4242419421
475	0.4236136106
476	0.423156219
477	0.4222352132
478	0.4216826886
479	0.4205151295
480	0.4190100616
481	0.4186289482
482	0.4176759979
483	0.4170833961
484	0.4162238784
485	0.4152728712
486	0.4146136258
487	0.4142226514
488	0.4137165377
489	0.413179692
490	0.4123513116
491	0.4115401805
492	0.4108014113
493	0.4098731494
494	0.4086056811
495	0.4079646777
496	0.4071825679
497	0.4060822087
498	0.405278483
499	0.4047720297
